Time_s,TrueAngle,TrueAngVel,MeasAngle,EstAngle,EstAngVel,AngleErr,AngVelErr
2.8400,-0.495217,-1.778028,-0.564299,-0.503030,-1.895402,-0.007813,-0.117374
2.8500,-0.512998,-1.729631,-0.406767,-0.488574,-1.759241,0.024424,-0.029610
2.8600,-0.530294,-1.679754,-0.608765,-0.535919,-1.788934,-0.005625,-0.109180
2.8700,-0.547091,-1.628457,-0.498928,-0.537893,-1.695555,0.009199,-0.067097
2.8800,-0.563376,-1.575796,-0.547629,-0.552755,-1.638137,0.010621,-0.062340
2.8900,-0.579134,-1.521831,-0.395935,-0.518903,-1.453823,0.060231,0.068008
2.9000,-0.594352,-1.466619,-0.556743,-0.540199,-1.421367,0.054153,0.045252
2.9100,-0.609018,-1.410219,-0.631251,-0.576700,-1.427704,0.032319,-0.017485
2.9200,-0.623121,-1.352690,-0.680104,-0.616829,-1.440358,0.006292,-0.087668
2.9300,-0.636648,-1.294089,-0.651300,-0.637053,-1.397403,-0.000406,-0.103315
2.9400,-0.649588,-1.234474,-0.613789,-0.640225,-1.309358,0.009363,-0.074884
2.9500,-0.661933,-1.173903,-0.659003,-0.654968,-1.253768,0.006965,-0.079866
2.9600,-0.673672,-1.112432,-0.727448,-0.684895,-1.238381,-0.011223,-0.125949
2.9700,-0.684796,-1.050119,-0.701988,-0.698645,-1.178674,-0.013849,-0.128555
2.9800,-0.695298,-0.987019,-0.788313,-0.733028,-1.173798,-0.037730,-0.186778
2.9900,-0.705168,-0.923188,-0.664967,-0.721612,-1.046043,-0.016444,-0.122855
3.0000,-0.714400,-0.858680,-0.715354,-0.727222,-0.967416,-0.012822,-0.108736
3.0100,-0.722987,-0.793550,-0.764387,-0.744873,-0.922253,-0.021887,-0.128703
3.0200,-0.730922,-0.727851,-0.793757,-0.765605,-0.885178,-0.034683,-0.157327
3.0300,-0.738201,-0.661636,-0.765568,-0.771877,-0.809505,-0.033677,-0.147869
3.0400,-0.744817,-0.594957,-0.657380,-0.744394,-0.646322,0.000423,-0.051365
3.0500,-0.750766,-0.527866,-0.671183,-0.727734,-0.518153,0.023033,0.009713
3.0600,-0.756045,-0.460414,-0.830312,-0.761183,-0.526992,-0.005138,-0.066578
3.0700,-0.760649,-0.392652,-0.852879,-0.791536,-0.525025,-0.030887,-0.132373
3.0800,-0.764576,-0.324630,-0.910039,-0.829656,-0.541560,-0.065081,-0.216930
3.0900,-0.767822,-0.256398,-0.814397,-0.829071,-0.452775,-0.061249,-0.196377
3.1000,-0.770386,-0.188004,-0.875811,-0.845851,-0.412435,-0.075465,-0.224430
3.1100,-0.772266,-0.119498,-0.658430,-0.794376,-0.191235,-0.022110,-0.071737
3.1200,-0.773461,-0.050928,-0.761783,-0.786272,-0.094522,-0.012811,-0.043593
